run_id,support_algorithm,support_epsilon,total_epsilon,support_error,mwem_error
4,fem,0.2,1.0,0.1450828047536093,0.09085124920539793
4,dualquery,0.2,0.5,0.24282298022194015,0.22875814583708778
4,dualquery,0.2,1.0,0.24282298022194015,0.22440900622642415
4,fem,0.30000000000000004,0.5,0.11865104946200257,0.09806528675801446
4,fem,0.30000000000000004,1.0,0.11865104946200257,0.08716416257887875
4,dualquery,0.30000000000000004,0.5,0.24406341784827512,0.22090141160613644
4,dualquery,0.30000000000000004,1.0,0.24406341784827512,0.2143041906413143
4,fem,0.4,0.5,0.11377842992708258,0.10283751785062699
4,fem,0.4,1.0,0.11377842992708258,0.08868571409217463
4,dualquery,0.4,0.5,0.265213340977028,0.23371066889504125
4,dualquery,0.4,1.0,0.265213340977028,0.2201874742999089
4,fem,0.5,0.5,0.10426068454261453,0.10426068454261471
4,fem,0.5,1.0,0.10426068454261453,0.08650470302240598
4,dualquery,0.5,0.5,0.2765343221346818,0.27653432213468176
4,dualquery,0.5,1.0,0.2765343221346818,0.22675200355677375
